Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Hillsborough,1305,CIT,San Mateo,Hillsborough,CA,94010-6498,11110,General Law,630,131,131
Hollister,1306,CIT,San Benito,Hollister,CA,95023,41919,General Law,630,131,131
Holtville,1307,CIT,Imperial,Holtville,CA,92250-1298,5504,General Law,630,131,131
Hughson,1308,CIT,Stanislaus,Hughson,CA,95326,7495,General Law,630,131,131
Huntington Beach,1309,CIT,Orange,Huntington Beach,CA,92648,197616,Chartered,630,131,502
Huntington Park,1310,CIT,Los Angeles,Huntington Park,CA,90255,54519,General Law,630,131,131
Huron,1311,CIT,Fresno,Huron,CA,93234,6176,General Law,630,131,131
Imperial,1312,CIT,Imperial,Imperial,CA,92251,26448,General Law,630,131,131
Imperial Beach,1313,CIT,San Diego,Imperial Beach,CA,91932,20755,General Law,630,131,131
Indian Wells,1314,CIT,Riverside,Indian Wells,CA,92210-7497,4771,Chartered,630,131,131
Indio,1315,CIT,Riverside,Indio,CA,92202,88862,General Law,630,131,131
Industry,1316,CIT,Los Angeles,Industry,CA,91744,440,Chartered,630,131,131
Inglewood,1317,CIT,Los Angeles,Inglewood,CA,90301,107143,Chartered,930,502,502
Ione,1318,CIT,Amador,Ione,CA,95640,8722,General Law,630,131,131
Irvine,1319,CIT,Orange,Irvine,CA,92623-9575,301254,Chartered,630,131,131
Irwindale,1320,CIT,Los Angeles,Irwindale,CA,91706,1482,Chartered,630,131,131
Isleton,1321,CIT,Sacramento,Isleton,CA,95641,790,General Law,630,131,131
Jackson,1322,CIT,Amador,Jackson,CA,95642-2393,5028,General Law,630,131,131
Jurupa Valley,11163,CIT,Riverside,Jurupa Valley,CA,92509,105415,General Law,630,131,131
Kerman,1323,CIT,Fresno,Kerman,CA,93630-1799,16074,General Law,630,131,131
King City,1324,CIT,Monterey,King City,CA,93930,13476,Chartered,630,131,131
Kingsburg,1325,CIT,Fresno,Kingsburg,CA,93631,12533,Chartered,630,131,131
La Canada Flintridge,1326,CIT,Los Angeles,La Canada Flintridge,CA,91011,20291,General Law,630,131,131
La Habra,1327,CIT,Orange,La Habra,CA,90631,62317,General Law,630,131,131
La Habra Heights,1328,CIT,Los Angeles,La Habra Heights,CA,90631,5655,General Law,630,131,131
La Mesa,1329,CIT,San Diego,La Mesa,CA,92041-0314,60608,General Law,630,131,131
La Mirada,1330,CIT,Los Angeles,La Mirada,CA,90638,49074,General Law,630,131,131
La Palma,1331,CIT,Orange,La Palma,CA,90623,15463,General Law,630,131,131
La Puente,1332,CIT,Los Angeles,La Puente,CA,91744,37626,General Law,630,131,131
La Quinta,1333,CIT,Riverside,La Quinta,CA,92253,37949,Chartered,630,131,131
La Verne,1334,CIT,Los Angeles,La Verne,CA,91750,32608,General Law,630,131,131
Lafayette,1335,CIT,Contra Costa,Lafayette,CA,94549,25217,General Law,630,131,131
Laguna Beach,1336,CIT,Orange,Laguna Beach,CA,92651,22862,General Law,630,131,131
Laguna Hills,1337,CIT,Orange,Laguna Hills,CA,92653,31017,General Law,630,131,131
Laguna Niguel,1338,CIT,Orange,Laguna Niguel,CA,92677,64885,General Law,630,131,131
Laguna Woods,1339,CIT,Orange,Laguna Woods,CA,92653,17670,General Law,630,131,131
Lake Elsinore,1340,CIT,Riverside,Lake Elsinore,CA,92530,70891,General Law,630,131,131
Lake Forest,1341,CIT,Orange,Lake Forest,CA,92630,86406,General Law,630,131,131
Lakeport,1342,CIT,Lake,Lakeport,CA,95453,4898,General Law,630,131,131
Lakewood,1343,CIT,Los Angeles,Lakewood,CA,90712,81681,General Law,630,131,131
Lancaster,1344,CIT,Los Angeles,Lancaster,CA,93534,176166,Chartered,630,131,131
Larkspur,1345,CIT,Marin,Larkspur,CA,94939,12963,General Law,630,131,131
Lathrop,1346,CIT,San Joaquin,Lathrop,CA,95330,29384,General Law,630,131,131
Lawndale,1347,CIT,Los Angeles,Lawndale,CA,90260,31638,General Law,630,131,131
Lemon Grove,1348,CIT,San Diego,Lemon Grove,CA,91945,27422,General Law,630,131,131
Lemoore,1349,CIT,Kings,Lemoore,CA,93245,27225,Chartered,630,131,131
